	Afrikaans	Alsatian	American English	Bavarian	Bokmål Norwegian	Danish	Dutch	East Low German	Eastphalian	English	Faroese	Gothic	Hessian	Icelandic	Insular North Frisian	Limburgish	Luxembourgish	Mainland North Frisian	Northern Low Saxon	Nynorsk Norwegian	Palatine German	Pennsylvania German	Proto-Germanic	Ripuarian	Saterland Frisian	Scots	Standard German	Swabian	Swedish	Swiss German	West Flemish	West Frisian	Westphalian	Wymysorys	Yiddish	Zeelandic
corn_NOUN_1	kˈʊə̯rəŋ	kʰˈoʁn	kʰˈɔɹn	kʰˈoɐn	kʰˈuːɳ	kʰˈoɐˀn	kˈoːɾən			kʰˈɔːn	kʰˈɔt͡n̥	kˈɔrn	kʰˈɔɐn	kʰˈɔrt͡n̥	kʰˈuːɐn	kˈʊːʀə	kʰˈaːʀ	kˈɔʀn		kʰˈʊɾn	kʰˈɔɐn	kˈaːn	kˈurnɑ̃	kˈoːn		kʰˈorn	kʰˈɔɐn		kʰˈuːɳ	χˈorn	kˈoːɾn	kˈoə̯n				
cow_NOUN_1	kˈuj	kʰˈʊː	kʰˈaʊ̯	kʰˈuɐ̯	kʰˈʉː	kʰˈoˀ	kˈu	kʰˈaʊ̯	kˈaʊ̯	kʰˈaʊ̯	kʰˈɪɡ̊v̥		kʰˈuː	cʰˈiːr̥	kʰˈʏ	kˈoːj	kʰˈəʊ̯	kˈʏ	kʰˈaʊ̯	kʰˈʉː	kʰˈuː	kˈuː	kˈuːz	kˈoː	kˈu	kʰˈuː	kʰˈuː	kʰˈuə̯	kʰˈuː	χˈuə̯	kˈuə̯	kˈoː	kˈaʊ̯	kˈʏ	kˈʊ	kˈuj
daughter_NOUN_1	dˈɔχtər	d̥ˈoːxtəʁ	dˈɑɾɚ	d̥ˈoxd̥a	dˈɑtːəɾ	d̥ˈɛd̥ɐ	dˈɔχtəɾ	dˈɔxtæ	dˈɔxtɐ	dˈɔːtə	d̥ˈœʰtɪɹ	dˈɔːhtar		d̥ˈɔu̯ʰtɪr̥	dˈɔːxtɐ	dˈɔxtəʀ	dˈuə̯ɕtɐ	dˈɔːxtəʀ	dˈɔxdɐ	dˈɔʰtːeɾ	d̥ˈɔxd̥ɐ	dˈɔxdɑ	dˈuxtɛːr	dˈɔxtɐ	dˈɔxtər	dˈoxtər	tʰˈɔxtɐ	dˈɔxdʌ	dˈɔtːɛr	tˈoχtər	dˈɔhtɾ̩	dˈɔχtər	dˈɔxtɐ	tˈɔxtɛr	tˈɔχtəʀ	dˈɔxtəɾ
day_NOUN_1	dˈaχ	d̥ˈɒː	dˈeɪ̯	d̥ˈɒːɡ̊	dˈɑːɡ	d̥ˈæˀj	dˈɑχ	dˈax	dˈax	dˈeɪ̯	d̥ˈɛːa̯wʊɹ	dˈaxs	d̥ˈɑːɣ̥	d̥ˈaːɣʏr̥	dˈaɪ̯	dˈaːx	dˈaːχ	dˈɛi̯	dˈax	dˈɑːɡ	d̥ˈɑːɡ̊	dˈɔːɡ̊	dˈɑɣɑz	dˈaːx	dˈaːi̯	dˈeː	tʰˈaːɡ̊	dˈaːɡ	dˈɑːɡ	tˈɒːɡ̊	dˈɑɦ̥	dˈɛi̯	dˈax	tˈɑɡ̊	tˈɔɡ	dˈɑx
dead_ADJ_1	dˈʊə̯d̥	d̥ˈoːt	dˈɛd	d̥ˈou̯d̥	dˈøː	d̥ˈøˀð̞ˠ	dˈoːd̥	dˈoːd	dˈeo̯t	dˈed	d̥ˈɛːi̯jʊɹ	dˈɔːθs	d̥oːd̥	d̥ˈœːy̯ðʏr̥	dˈɔa̯ɾ	dˈud̥	dˈəʊ̯d̥	dˈyːdʲ	dˈaʊ̯d	dˈæʉ̯	d̥ˈoːd̥	dˈoːd̥	dˈɑu̯ðɑz	dˈuːd̥	dˈoːd	dˈed	tʰˈoːt	dˈoːd	dˈøːd	tˈoːd̥	dˈoːd̥	dˈɪə̯	dˈaʊ̯d		tˈɔɪ̯t	dˈʊə̯d̥
deadly_ADJ_1	dˈʊə̯dəɫək		dˈɛdɫi	d̥ˈeːd̥liç	dˈøːdəli	d̥ˈøːð̞ˠəli	dˈoːdəɫək			dˈedlɪ				d̥ˈœːy̯ðlɛɣʏr̥	dˈɔa̯ɾəlk	dˈyːjələk	dˈɜɪ̯dləɕ	dˈyːdʲlik	dˈɔʏ̯dlɪç	dˈøːdeleɡ		dˈeːdlɪç	dˈɑu̯ðɑliːkɑz		dˈoːdəlk	dˈedlɪ	tʰˈøːdlɪç		dˈøːdlɪɡ	tˈøːd̥liχ		dˈɪə̯dlɪk			tˈɔɪ̯tɫəχ	
dear_ADJ_1					çˈæːɾ	kʰˈɛˀɐ					ʧʰˈɛːa̯ɹʊɹ			cʰˈaːi̯r̥						çˈæːɾ									ɕˈæːr							
death_NOUN_1	dˈʊə̯d̥	d̥ˈoːt	dˈɛθ	d̥ˈou̯d̥	dˈøː	d̥ˈœˀð̞ˠ	dˈoːd̥	dˈaʊ̯d	dˈeo̯d	dˈeθ	d̥ˈɛːi̯jɪ	dˈɔːθus		d̥ˈœːy̯ðɪ	dˈɔa̯ɾ	dˈud̥	dˈəʊ̯d̥	dˈyːz̥	dˈaʊ̯d	dˈæʉ̯e	d̥ˈoːd̥	dˈoːd̥	dˈɑu̯θuz	dˈuːd̥	dˈoːd	dˈeːθ	tʰˈoːd̥	dˈoːd	dˈøːd	tˈoːd̥	dˈoːd̥	dˈɪə̯	dˈaʊ̯t	tˈut	tˈɔɪ̯t	dˈʊə̯d̥
deep_ADJ_1	dˈip	d̥ˈiːf	dˈip	d̥ˈiɐ̯f	dˈyːp	d̥ˈyˀb̥	dˈip	dˈae̯p	dˈɛɪ̯p	dˈiːp	ʤ̊ˈʉːu̯pʊɹ	dˈiu̯ps	d̥ˈiːf	d̥jˈuːpʏr̥	dˈiːp	dˈeːp	dˈɜɪ̯f	dˈiːp	dˈaɪ̯b	jˈʉːp	d̥ˈiːf	dˈiːf	dˈeu̯pɑz	dˈeːf	jˈoːp	dˈip	tʰˈiːf	dˈiə̯f	jˈʉːp	tˈyːf	dˈiə̯p	djˈɪp	dˈaɪ̯p	tˈif	tˈɪf	dˈiːpə
dog_NOUN_1	ɦˈɔnd̥	hˈund̥	hˈaʊ̯nd	hˈund̥	hˈʉnː	hˈunˀ	ɦˈɔnd̥	hˈʊnd	hˈʊnd	hˈaʊ̯nd	hˈʊnd̥ʊɹ	hˈunds	hˈund̥	hˈʏnd̥ʏr̥	hˈʏn	ɦˈʊːnd̥	hˈond̥	hˈʏn	hˈʊnd	hˈʉnː	hˈund̥	hˈʊnd̥	xˈundɑz	hˈoŋɡ̊	hˈuːnd	hˈund	hˈʊnd̥	hˈond	hˈɵnd	hˈuŋ	ˈund̥	hˈuːn		hˈund̥	hˈʊnt	ˈɔnd̥
dough_NOUN_1	dˈɪə̯χ	d̥ˈei̯ɡ̊	dˈoʊ̯	d̥ˈoɐ̯ɡ̊	dˈæɪ̯	d̥ˈɑˀj	dˈeːχ	dˈae̯ç		dˈəʊ̯	d̥ˈai̯ʤ̊	dˈɛːxs	d̥ˈaːʃ	d̥ˈɛːi̯x		dˈɛːx	dˈeːɕ	dˈiː	dˈaɪ̯ç	dˈæɪ̯ɡ	d̥ˈɛːʃ	dˈeːɡ̊	dˈɑi̯ɣɑz	dˈeɪ̯ɕ	dˈeː	dˈex	tʰˈaɪ̯ɡ̊	dˈɔe̯ɡ	dˈeːɡ	tˈæi̯ɡ̊	dˈeːɦ̥	dˈaːj		tˈaɡ̊	tˈɛɪ̯ɡ	dˈɪə̯x
dove_NOUN_1	dˈœɪ̯v̥	d̥ˈyːb̥	dˈʌv		dˈʉːə	d̥ˈuːə	dˈœy̯v̥	dˈuːf	dˈuːvə	dˈɐv	d̥ˈɪɡ̊v̥a		d̥ˈau̯b̥	d̥ˈuːva	dˈʏf	dˈɔu̯v̥	dˈɑʊ̯v̥	dˈʏv̥	dˈuːf	dˈʉːe	d̥ˈau̯b̥	dˈaʊ̯b̥	dˈuːβɔ̃ː	dˈuːv̥	dˈuːvə	dˈuː	tʰˈaʊ̯bə	dˈao̯b	dˈʉːva	tˈuːb̥	dˈyːvə	dˈoː	dˈuːvə	tˈɑi̯	tˈɔɪ̯b	dˈyːvə
dream_NOUN_1	drˈʊə̯m	tʁˈʊːm	dɹˈim	d̥rˈaːm	dɾˈœm	d̥ʁˈœˀm	dɾˈoːm	drˈaʊ̯m	drˈeo̯m	dɹˈiːm	d̥ɹˈɛːi̯mʊɹ		tʀˈaːm	d̥rˈœːy̯mʏr̥	drˈoːm	dʀˈɔːm	dʀˈaːm	dʀˈuːm	drˈaʊ̯m	dɾˈæʉ̯m	d̥rˈɑːm	dɾˈɔːm	drˈɑu̯mɑz	dʀˈoːm	drˈoːm	drˈiːm	tʰʁˈaʊ̯m	dʁˈao̯m	drˈœm	trˈau̯m	dɾˈoːm	drˈɪə̯m	drˈaʊ̯m		tʀˈɔɪ̯m	
dream_VERB_1	drˈʊə̯m	tʁˈai̯mə	dɹˈim	d̥rˈaːma	dɾˈœmːə	d̥ʁˈœmə	dɾˈoːmən	drˈɔʏ̯m	drˈøːmn̩	dɹˈiːm	d̥ɹˈɔːi̯ma		tʀˈaːmə	d̥rˈeːi̯ma	drˈɛm	dʀˈœi̯mə	dʀˈeːmən	dʀˈiːmə	drˈɔʏ̯m	dɾˈœʏ̯mɑ	d̥rˈɛːmə	dɾˈɔːmə	drˈɑu̯mijɑnɑ̃	dʀˈøːmə	drˈeːmə	drˈiːm	tʰʁˈɔʏ̯mən	dʁˈae̯ma	drˈœmːa	trˈøi̯mə			drˈaɪ̯mn̩	trˈɑi̯ma	tʀˈɔɪ̯mən	
drink_VERB_1	drˈəŋk	tʁˈiŋkə	dɹˈɪŋk	d̥rˈiŋɡ̊a	dɾˈɪkːə	d̥ʁˈeɡ̊ə	dɾˈɪŋkən	drˈɪŋkn̩	drˈɪŋkn̩	dɹˈɪŋk	d̥ɹˈɛʰka	drˈiŋkan	tʀˈiŋɡ̊ə	d̥rˈɛʰka	drˈɪŋk	dʀˈɪːŋkə	dʀˈeŋkən	dʀˈai̯ŋkə	drˈɪŋɡn̩	dɾˈɪʰkːɑ	d̥rˈɪŋɡ̊ə	dɾˈɪŋkə	drˈiŋkɑnɑ̃	dʀˈeŋkə	drˈɪŋkə	drˈɪŋk	tʰʁˈɪŋkn̩	dʁˈɪŋɡa	drˈɪkːa	trˈiŋkə	dɾˈɪŋkn̩	drˈɪŋkə	drˈɪŋkn̩	trˈɘ̟ŋca	tʀˈɪŋkən	dɾˈiŋkə
drive_VERB_1	drˈəɪ̯v̥	tʁˈiːb̥ə	dɹˈaɪ̯v	d̥rˈai̯m	dɾˈiːʋə	d̥ʁˈiːwə	dɾˈɛi̯vən	drˈiːm	drˈiːvn̩	dɹˈaɪ̯v	d̥ɹˈʊ̯iːva	drˈiːβan	tʀˈai̯və	d̥rˈiːva	drˈiːf	dʀˈiːvə	dʀˈɑɪ̯vən	dʀˈivə	drˈiːm	dɾˈiːʋɑ	d̥rˈaɪ̯βə	dɾˈaɪ̯ʋə	drˈiːβɑnɑ̃	dʀˈiːvə	drˈiːwə	drˈaɪ̯v	tʰʁˈaɪ̯bn̩	dʁˈəi̯ba	drˈiːva	trˈiːb̥ə		drjˈuːvə	drˈiːvn̩	trˈai̯n	tʀˈaɪ̯bn̩	dɾˈivə
dry_ADJ_1	dˈɔr~drˈʊə̯χ	tʁˈukət	dɹˈaɪ̯		tʰˈœɾ	ʦʰˈɶˀɐ	dɾˈoːχ~dˈɔɾ	drˈɔʏ̯ç	drˈøːɣə	dɹˈaɪ̯	tʰˈʊɹʊɹ		d̥ˈæɐ	θˈʏr̥	drˈʏç	dʀˈyːx~dˈɔʀ	dʀˈəɕən~dˈiːɐ	dʀˈœːç	drˈɔʏ̯ç	tʰˈʉɾ	d̥rˈuɡ̊ə~d̥ˈɛɐ	dɾˈʊkə~dˈɛːɑ	drˈɑu̯ɣiz~θˈursuz~drˈuknɑz	dʀˈyːɕ	drˈuːx	drˈaɪ̯	tʰʁˈɔkn̩~dˈʏɐ	dʁˈɔɡa	tʰˈɔrː	trˈoχə	dɾˈoːɦ̥	drˈuːχ	drˈyːç	trˈɑi̯ɡ̊	tʀˈʊkn̩	dɾˈʊə̯x~dˈɔɾə
dwarf_NOUN_1	dvˈærχ		dwˈɔɹf		dʋˈɛɾɡ	d̥ʋˈæɐˀw	dʋˈɛɾχ			dwˈɔːf	d̥vˈœɹɡ̊ʊɹ		ʦvˈæɐʒ̥	d̥vˈɛrɡ̊ʏr̥		dβˈæːʀəx				dʋˈɛɾɡ	ʣ̥βˈɛrɪʃ	ʦʋˈɛːɾɪç	dwˈerɣɑz		dvˈɛrx	drˈɔɪ̯ç	ʦvˈɛɐɡ̊		dvˈærj	ʦʋˈerɡ̊		dvˈɛrχ				
ear_NOUN_1	ˈʊə̯r	ˈoːʁ	ˈiɚ	ˈoɐ	ˈøːɾə	ˈøːɐ	ˈoːɾ	ˈuːæ	ˈeo̯ɐ	ˈɪə	ˈɔːi̯ɹa	ˈɔːsoː	ˈoːɐ	ˈɛːi̯ra	ˈɔa̯	ˈuːʀ	ˈəʊ̯ɐ	ˈuːʀ	ˈaʊ̯ɐ	ˈœʏ̯ɾɑ	ˈoːɐ	ˈoːɑ	ˈɑu̯sɔːː	ˈuːɐ	ˈoːr	ˈiːr	ˈoːɐ	ˈoːʕ	ˈœːra	ˈoːr	ˈoːɾə	ˈɪə̯r	ˈɔːɐ	ˈʏr	ˈɔɪ̯əʀ	ˈʊə̯ɾə
earth_NOUN_1	ˈɑːrdə		ˈɝθ	ˈeɐd̥n̩	jˈuːɾ	jˈoˀɐ	ˈaːɾdə	ˈiːæ	ˈeːrə	ˈɜːθ	jˈøːɹ	ˈɛrθa	ˈæːɐd̥	jˈœrð	ˈøːɐxt	ˈeːʀd̥	ˈɛːɐd̥	jˈaʀd̥	ˈaɪ̯ɐ	jˈuːɾ	ˈɛɐd̥	ˈɛɑd̥	ˈerθɔː	ˈɛːd̥	ˈɛɪ̯də	jˈɪrd	ˈɛɐdə	ˈɛʕde	jˈuːɖ	hˈærd̥	ˈɛːɾdə	ˈiə̯də	ˈɛːɐ	ˈɑd̥	ˈɛʀd	ˈɛːɾdə
eat_VERB_1	ˈɪə̯t	ˈæsə	ˈiʔ	ˈesn̩	ˈeːtə	ˈɛːð̞ˠə	ˈeːtən	ˈɛːtn̩	ˈɛːtn̩	ˈiːt	ˈeːʰta		ˈɛsə	jˈɛta	ˈiːt	ˈeːtə	ˈiə̯sən	ˈɛːzə	ˈeːdn̩	ˈeːtɑ	ˈɛsə	ˈɛsə	ˈetɑnɑ̃	ˈɛːsə	ˈitə	ˈit	ˈɛsn̩	ˈɛsa	ˈɛːta	ˈæsːə	ˈeːtn̩	ˈitə	ˈɪɛ̯tn̩	ˈɑsa	ˈɛsn̩	ˈeːtə
edge_NOUN_1	ˈæχ	ˈek	ˈɛʤ	ˈeɡ̊	ˈɛɡː	ˈeˀɡ̊	ˈɛχ	ˈɛk	ˈɛkə	ˈeʤ	ˈɛɡ̊ː		ˈek	ˈɛɡ̊ː		ˈeːx	ˈɛk		ˈɛɡ	ˈɛɡː	ˈɛɡ̊	ˈɛk	ˈɑɣjɔː	ˈɛk		ˈɛʤ	ˈɛkə	ˈɛɡ	ˈɛɡː	ˈeɡ̊ːə	ˈɛɦə	ˈɪɣə	ˈɛk		ˈɛk	ˈæxə
eel_NOUN_1	ˈɑːɫ	ˈɒːl	ˈiɫ		ˈoːl	ˈɔˀl	ˈaːɫ	ˈɒːl	ˈɒːl	ˈiːɫ	ˈɔ̯aːt͡l̥ʊɹ		ˈɑːl	ˈɑːu̯t͡l̥	ˈɔːl	ˈil	ˈɜɪ̯l	ˈɛi̯l	ˈoːl	ˈoːl	ˈoːl	ˈoːl	ˈɛːlɑz	ˈøːl	ˈɛɪ̯l	ˈil	ˈaːl		ˈoːl	ˈɒːl		ˈiə̯l	ˈɔːl			ˈɛːɫ
egg_NOUN_NEU_1			ˈɛɡ		ˈɛɡː	ˈeˀɡ̊				ˈeɡ	ˈɛɡ̊ː	ˈada		ˈɛɡ̊ː						ˈɛɡː						ˈɛɡ			ˈɛɡː							
egg_NOUN_NEU_2		ˈəi̯		ˈoɐ̯			ˈɛi̯	ˈae̯	ˈɛɪ̯				ˈai̯		ˈaɪ̯	ˈɛːi̯	ˈeː	ˈɔj	ˈaɪ̯		ˈɑːɪ̯	ˈɔɪ̯	ˈɑjːɑ̃	ˈeɪ̯	ˈɔːɪ̯		ˈaɪ̯	ˈɔe̯		ˈæi̯	ˈɛː	ˈaːj	ˈaɪ̯	ˈai̯	ˈɛɪ̯	ˈæi̯
eight_NUM_1	ˈaχt	ˈɒxt	ˈeɪ̯ʔ	ˈɑxd̥ə	ˈɔtːə	ˈoːd̥ə	ˈɑχt	ˈaxt	ˈaxtə	ˈeɪ̯t	ˈɔʰta	ˈahtɔː	ˈɑxt	ˈɑu̯ʰta	ˈɔːxt	ˈɑx	ˈaːχt	ˈɔːxt	ˈaxd	ˈɔʰtːe	ˈɑxd̥	ˈaxt	ˈɑxtɔːu̯	ˈaːx	ˈɔːxtə	ˈɛçt	ˈaxt	ˈaxd	ˈɔtːa	ˈɒχt	ˈɑhtə	ˈaχt	ˈaxt	ˈɑxt	ˈaχt	ˈɑxtə
eleven_NUM_1	ˈæɫv̥	ˈeːləf	əlˈɛvən	ˈejfə	ˈɛlʋə	ˈɛlʋə	ˈɛɫəv̥	ˈɛlm	ˈœlvə	ɪlˈevən	ˈɛt͡l̥ɪvʊ	ˈɛːnlif	ˈɛlf	ˈɛt͡l̥ɛvʏ	ˈɛləf	ˈɛləv̥	ˈeːləf	ˈalvən	ˈœːlm	ˈɛlʋe	ˈɛlf	ˈɛlf	ˈɑi̯nɑliɸ	ˈeləf	ˈalvən	əlˈeːvn̩	ˈɛlf	ˈɛlf	ˈɛlva	ˈelf	ˈæwvə	ˈalvə	ˈɛlvə	ˈalf	ˈɛɫf	ˈɑɫv̥
expensive_ADJ_1	dˈyːr	d̥ˈiːʁ	dˈiɚ	d̥ˈai̯a	dˈyːɾ	d̥ˈyˀɐ	dˈyːɾ	dˈyːæ	dˈyːɐ	dˈɪə	d̥ˈʊ̯iːɹʊɹ		d̥ˈoi̯æ̆	d̥ˈiːr̥	jˈyːɐ	dˈøːʀ	dˈɑɪ̯ɐ	jˈœːʀ	dˈyːɐ	dˈyːɾ	d̥ˈaɪ̯ɐ	dˈaɪ̯ɑ	dˈiu̯rijɑz	dˈøːɐ~dˈyːɐ	jˈuːr	dˈiːr	tʰˈɔʏ̯ɐ	dˈəi̯ʌ	dˈyːr	tˈyːr	dˈiə̯ɾə	djˈuə̯r	dˈyːɐ	tˈɑi̯ɛr	tˈaɪ̯əʀ	dˈiːɾ
eye_NOUN_1	ˈʊə̯χ		ˈaɪ̯	ˈau̯ɡ̊	ˈøːjə	ˈʌjə	ˈoːχ	ˈaʊ̯x	ˈeo̯ɣə	ˈaɪ̯	ˈɛːi̯ja	ˈɔːɣoː	ˈaːx	ˈœːy̯ɣa	ˈoːx	ˈɔu̯x	ˈaː	ˈuːx	ˈaʊ̯x	ˈæʉ̯ɡɑ	ˈɑːɡ̊	ˈɔːɡ̊	ˈɑu̯ɣɔːː	ˈoːx	ˈoːɣə	ˈiː	ˈaʊ̯ɡə	ˈao̯ɡ	ˈøːɡa	ˈau̯ɡ̊	ˈoːɦə	ˈɪə̯χ	ˈaʊ̯ɣə	ˈɑi̯ɡ̊	ˈɔɪ̯ɡ	ˈʊə̯xə
eye_NOUN_2		ˈœʋ																																		
fast_ADJ_1			fˈæst	fˈeʃd̥			vˈɑst			fˈɑːst			fˈest		fˈast	vˈɑs		fˈɒːst			fˈɛʃd̥		ɸˈɑstuz		fˈɛːst	fˈɛst	fˈɛst~fˈast				vˈɑst	fˈɛːst				
father_NOUN_1	v̥ˈɑːdər	fˈɒtəʁ	fˈɑðɚ	fˈɒːd̥a	fˈɑːɾ	fˈɑː	vˈaːdəɾ	fˈaɾæ	fˈɒːdɐ	fˈɑːðə	fˈɛːa̯jɪɹ	fˈaðar	fˈad̥æ̆	fˈaːðɪr̥	fˈɔːɾɐ	vˈaːjəʀ		fˈaːdəʀ	fˈoːdɐ	fˈɑːɾ	fˈɑrɐ	fˈadɑ	ɸˈɑðɛːr	fˈaːdɐ	fˈɔːr	fˈeːðər	fˈaːtɐ	fˈadʌ	fˈɑːr	fˈɒtːər	vˈɒːdɾ̩	fˈaːdər	fˈaːdɐ	fˈɔtɛr	fˈɔtəʀ	vˈɒːdəɾ
feather_NOUN_1	v̥ˈɪə̯r	fˈɛd̥əʁ	fˈɛðɚ	fˈeːd̥a	fjˈæːɾ	fjˈeˀɐ	vˈeːɾ	fˈɛɾæ	fˈeːɐ	fˈeðə	fjˈøːwʊɹ		fˈɛd̥æ̆	fjˈœːðʏr̥	fˈɛɾɐ	vˈeːʀ	fˈiə̯dɐ	fˈɛːdəʀ	fˈɛlə	fjˈøːɾ	fˈɛrɐ	fˈɛdɑ	ɸˈeθrɔː	fˈɛdɐ		fˈɛðər	fˈeːdɐ	fˈɛːdʌ	fjˈɛːdɛr	fˈæd̥ərə		fˈɪə̯r	fˈɪɛ̯dɐ	fˈɑdɛr	fˈɛdəʀ	vˈɪə̯ɾə
feel_VERB_1	v̥ˈuɫ		fˈiɫ	fˈujn			vˈuɫən	fˈɔʏ̯ln̩	fˈɔʏ̯ln̩	fˈiːɫ			fˈiːlə		fˈøːl	vˈøːlə	fˈilən	fˈɛi̯lə	fˈɔʏ̯ln̩		fˈiːlə	fˈiːlə	ɸˈɔːlijɑnɑ̃	fˈøːlə	fˈɛɪ̯lə	fˈil	fˈyːln̩	fˈiːla		fˈyːlə	vˈuə̯ln̩	fˈiə̯lə	fˈøːln̩		fˈɪɫn̩	vˈuːlə
feet_NOUN_PL_1	vˈutə	fˈiːs	fˈiʔ	fˈiɐ̯s	fˈœtːəɾ	fˈœð̞ˠɐ	vˈutən	fˈɔʏ̯t	fˈɔʏ̯tə	fˈiːt	fˈøːtʊɹ		fˈoi̯s	fˈaːi̯tʏr̥	fˈɛt	vˈøːj	fˈɜɪ̯s	fˈɛtʲ	fˈɔʏ̯d	fˈøːteɾ	fˈiːs	fˈiːs	ɸˈɔːtiz	fˈøːs	fˈɛɪ̯tə	fˈit	fˈyːsə	fˈiə̯s	fˈœtːɛr	fˈyə̯sː	vˈuə̯tn̩	fˈu̯otən	fˈøːtə	fˈisa	fˈɪs	
few_ADJ_1			fjˈu		fˈoː	fˈɔˀ				fjˈuː	fˈɔ̯aːʊɹ	fˈɔːs		fˈaːur̥						fˈoː			ɸˈɑwɑz			fjˈu			fˈoː							
find_VERB_1	v̥ˈənd̥	fˈind̥ə	fˈaɪ̯nd	fˈind̥n̩	fˈɪnːə	fˈenə	vˈɪndən	fˈɪn̩	fˈɪn̩	fˈaɪ̯nd	fˈɪnːa	fˈinθan	fˈinə	fˈɪnːa	fˈɪnʲ	vˈɪːndə	fˈɑnən	fˈinə	fˈɪn̩	fˈɪnːɑ	fˈɪnə	fˈɪnə	ɸˈinθɑnɑ̃	fˈeŋə	fˈiːndə	fˈɪnd	fˈɪndn̩	fˈɪnda	fˈɪnːa	fˈind̥ə	vˈɪndn̩	fˈiːnə	fˈɪn̩	fˈɘ̟nda	ɡəfˈɪnən	vˈɪndə
finger_NOUN_1	v̥ˈəŋər	fˈiŋəʁ	fˈɪŋɡɚ	fˈiŋa	fˈɪŋːəɾ	fˈeŋˀɐ	vˈɪŋəɾ	fˈɪŋæ	fˈɪŋɐ	fˈɪŋɡə	fˈɪŋɡ̊ʊɹ	fˈiŋɡrs	fˈiŋæ̆	fˈiŋɡ̊ʏr̥	fˈɪŋɐ	vˈɪːŋəʀ	fˈɑŋɐ	fˈai̯ŋəʀ	fˈɪŋɐ	fˈɪŋːeɾ	fˈɪŋɐ	fˈɪŋɑ	ɸˈiŋɡrɑz	fˈɪŋɐ	fˈɪŋər	fˈɪŋər	fˈɪŋɐ	fˈeŋʌ	fˈɪŋːɛr	fˈiŋər	vˈɪŋɾ̩	fˈɪŋər	fˈɪŋɐ	fˈɘ̟ŋɟɛr	fˈɪŋɡəʀ	vˈiŋəɾ
fingernail_NOUN_1	nˈɔːɫ	nˈaːʋl̩	nˈeɪ̯ɫ	nˈɑːɡ̊l	nˈæɪ̯l	nˈɑjˀl	nˈaːχəɫ	nˈɒːɡl̩	nˈɛːjl̩	nˈeɪ̯ɫ	nˈaɡ̊l	nˈaɡls	nˈɑːɣ̥l̩	nˈœɡ̊l	nˈaɪ̯l	nˈaːɣəl	nˈoːl	nˈɛːjəl	nˈoːɡl̩	nˈɑɡl	nˈɑːxl̩	nˈaɣl̩	nˈɑɣlɑz	nˈɛːl	nˈaːi̯l	nˈel	nˈaːɡl̩	nˈaːɡl̩	nˈɑːɡɛl	nˈɒɡ̊l	nˈɒːɦəl	nˈɛi̯l	nˈaːɡl̩	nˈi̯øl	nˈɔɡɫ̩	nˈɛːxəɫ
fire_NOUN_1					ˈɪlː	ˈilˀ					ˈɛld̥ʊɹ			ˈɛld̥ʏr̥	jˈœl			ˈiːlʲ		ˈɛlː			ˈɑi̯liðɑz						ˈɛld							
fire_NOUN_2	v̥ˈyːr	fˈiːʁ	fˈaɪ̯ɚ	fˈai̯a	fˈyːɾ	fˈyˀɐ	vˈyːɾ	fˈyːæ	fˈyːɐ	fˈaɪ̯ə	fˈʊ̯iːɹʊɹ	fˈoːn	fˈoi̯æ̆	fˈʏːnɪ	fˈyːɐ	vˈyːʀ	fˈɑɪ̯ɐ		fˈyːɐ	fˈyːɾ	fˈaɪ̯ɐ	fˈaɪ̯ɑ	ɸˈɔːr	fˈyːɐ	fjˈuːr	fˈəi̯ər	fˈɔʏ̯ɐ	fˈəi̯ʌ	fˈyːr	fˈyːr	vˈiə̯ɾ	fjˈuə̯r	fˈyːɐ	fˈɑi̯ɛr	fˈaɪ̯əʀ	vˈiːɾ
fish_NOUN_1	v̥ˈəs	fˈiʃ	fˈɪʃ	fˈiːʃ	fˈɪsk	fˈesɡ̊	vˈɪs	fˈɪʃ	fˈɪʃ	fˈɪʃ	fˈɪskʊɹ	fˈisks	fˈiʃ	fˈɪskʏr̥	fˈɛsk	vˈɛs	fˈəʃ	fˈaʃ	fˈɪʃ	fˈɪsk	fˈɪʃ	fˈɪʃ	ɸˈiskɑz	fˈeʃ	fˈɪsk	fˈɪʃ	fˈɪʃ	fˈiʃ	fˈɪsk	fˈiʃ	vˈɛs	fˈɪsk	fˈɪʃk	fˈei̯ʃ	fˈɪʃ	vˈɪs
five_NUM_1	v̥ˈəɪ̯v̥	fˈinef	fˈaɪ̯v	fˈimf	fˈɛm	fˈɛmˀ	vˈɛi̯v̥	fˈiːf	fˈiːf	fˈaɪ̯v	fˈɪm	fˈimf	fˈimf	fˈɪm	fˈɪf	vˈiːv̥	fˈənəf	fˈiːv̥	fˈiːf	fˈɛm	fˈɪnf	fˈɪnf	ɸˈimɸ	fˈœnəf	fˈiːw	fˈaːɪ̯v	fˈʏnf	fˈɛmf	fˈɛm	fˈyːf	vˈœvə	fˈiːf	fˈiːv	fˈɘ̟nf	fˈɪnf	vˈyːvə
